ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
17,31,4.504471,-74.125923,PK,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.862133774206,0.862133774206,0.862133774206,0.862133774206,0.862133774206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,40,4.701714,-74.044975,PK,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0929295271458,0.0929295271458,0.0929295271458,0.0929295271458,0.0929295271458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,29,4.540337,-74.143913,PK,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00838592650241,0.00838592650241,0.00838592650241,0.00838592650241,0.00838592650241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,33,4.513443,-74.107941,PK,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0287708286996,0.0287708286996,0.0287708286996,0.0287708286996,0.0287708286996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,32,4.5224,-74.107941,PK,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.311959506892,0.311959506892,0.311959506892,0.311959506892,0.311959506892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,33,4.5224,-74.107941,PK,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.880396326902,0.880396326902,0.880396326902,0.880396326902,0.880396326902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,29,4.531372,-74.143913,PK,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0218200024804,0.0218200024804,0.0218200024804,0.0218200024804,0.0218200024804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,33,4.531372,-74.107941,PK,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156776924349,0.156776924349,0.156776924349,0.156776924349,0.156776924349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,43,4.728607,-74.01799,PK,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.256272023097,0.256272023097,0.256272023097,0.256272023097,0.256272023097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,28,4.558266,-74.152908,PK,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0652193160104,0.0652193160104,0.0652193160104,0.0652193160104,0.0652193160104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,43,4.755493,-74.01799,PK,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.526011515296,0.526011515296,0.526011515296,0.526011515296,0.526011515296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
